ci_high,ci_level,ci_low,max_value,mean,metric_name,min_value,n,scenario_key,scenario_name,std,stderr,suite_name
0.0,0.95,0.0,0.0,0.0,accepted_arrivals,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
0.0,0.95,0.0,0.0,0.0,arrival_attempts,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
0.0,0.95,0.0,0.0,0.0,completed_jobs,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
0.0,0.95,0.0,0.0,0.0,completed_time_samples,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
0.0,0.95,0.0,0.0,0.0,loss_probability,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
0.0,0.95,0.0,0.0,0.0,mean_num_jobs,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
0.0,0.95,0.0,0.0,0.0,mean_occupied_resource,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
0.0,0.95,0.0,0.0,0.0,mean_service_time,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
0.0,0.95,0.0,0.0,0.0,mean_sojourn_time,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
1.0,0.95,1.0,1.0,1.0,pi_hat_0,1.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
0.0,0.95,0.0,0.0,0.0,pi_hat_1,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
0.0,0.95,0.0,0.0,0.0,pi_hat_10,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
0.0,0.95,0.0,0.0,0.0,pi_hat_11,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
0.0,0.95,0.0,0.0,0.0,pi_hat_12,0.0,1,base__arr-poisson__work-deterministic__lam-70__sig-1p2,"Base: arrival=poisson, workload=deterministic, lambda=70, sigma=1.2",0.0,0.0,baseline_gpu
